ieta	depth1	depth2	depth3	depth4
-16		-2		-10		-16		0
-15		2		-12		-19		-20
-14		2		-11		-16		-22
-13		3		-8		-15		-21
-12		6		-6		-13		-18
-11		6		-6		-10		-15
-10		7		-5		-9		-14
-9		9		-3		-8		-13
-8		11		0		-6		-9
-7		10		0		-5		-8
-6		12		1		-3		-6
-5		13		3		-2		-4
-4		14		3		0		-4
-3		14		3		-1		-3
-2		14		4		0		-2
-1		14		6		2		0
1		16		5		1		0
2		14		3		-1		-2
3		13		2		-2		-2
4		13		3		-1		-3
5		14		2		-3		-5
6		14		0		-4		-7
7		11		-1		-5		-9
8		12		-1		-6		-10
9		11		-3		-8		-12
10		9		-4		-10		-14
11		7		-6		-12		-17
12		8		-7		-13		-17
13		6		-9		-16		-21
14		4		-11		-17		-22
15		4		-12		-20		-20
16		-2		-10		-16		0
